timestamp,thread,cls,name,method,tag,step,setpoint,distance,error,integral,derivative,control,streak,done
2527,t55306412,PIDDriver,pid_driver,step,,0,-1000,0,-1000,-1000,0,-50,0,0
2577,t55306412,PIDDriver,pid_driver,step,,1,-1000,0,-1000,-2000,0,-50,0,0
2627,t55306412,PIDDriver,pid_driver,step,,2,-1000,0,-1000,-3000,0,-50,0,0
2677,t55306412,PIDDriver,pid_driver,step,,3,-1000,0,-1000,-4000,0,-50,0,0
2727,t55306412,PIDDriver,pid_driver,step,,4,-1000,-8.143682,-991.8563,-4991.857,8.143677,-50,0,0
2777,t55306412,PIDDriver,pid_driver,step,,5,-1000,-23.83976,-976.1602,-5968.017,15.69611,-50,0,0
3127,t55306412,PIDDriver,pid_driver,step,,12,-1000,-342.1805,-657.8195,-11652.78,64.18628,-50,0,0
3378,t55306412,PIDDriver,pid_driver,step,,17,-1000,-565.528,-434.472,-14243.23,33.80597,-44.87153,0,0
3533,t55306412,PIDDriver,pid_driver,step,,20,-1000,-680.4477,-319.5523,-15302.08,34.12903,-33.48544,0,0
3628,t55306412,PIDDriver,pid_driver,step,,22,-1000,-760.8055,-239.1945,-15812.98,32.51984,-25.50075,0,0
3783,t55306412,PIDDriver,pid_driver,step,,25,-1000,-867.9044,-132.0956,-16307.1,35.36023,-14.84027,0,0
4078,t55306412,PIDDriver,pid_driver,step,,31,-1000,-942.3191,-57.68091,-16788.95,7.71698,-7.446986,0,0
4178,t55306412,PIDDriver,pid_driver,step,,33,-1000,-956.5706,-43.42938,-16884.76,8.948364,-6.031415,0,0
4428,t55306412,PIDDriver,pid_driver,step,,38,-1000,-992.7842,-7.215759,-16986.62,4.340027,-2.420238,3,0
4527,t55306412,PIDDriver,pid_driver,step,,40,-1000,-999.532,-0.4679565,-16989.54,1.981079,-1.74575,5,1
8079,t55306412,PIDDriver,pid_driver,step,,5,550,36.9635,513.0365,3242.196,-18.04895,50,0,0
8435,t55306412,PIDDriver,pid_driver,step,,12,550,364.9474,185.0525,5642.421,-45.10718,19.0695,0,0
8730,t55306412,PIDDriver,pid_driver,step,,18,550,481.4154,68.58463,6185.502,-1.499542,7.477013,0,0
11530,t55306412,PIDDriver,pid_driver,step,,2,270,0.2133484,269.7866,809.3599,0,27.0596,0,0
11685,t55306412,PIDDriver,pid_driver,step,,5,270,18.9633,251.0367,1593.271,-12.26427,25.263,0,0
11780,t55306412,PIDDriver,pid_driver,step,,7,270,76.9321,193.0679,2005.661,-26.2536,19.50736,0,0
11880,t55306412,PIDDriver,pid_driver,step,,9,270,145.9887,124.0113,2280.095,-26.41207,12.62914,0,0
12080,t55306412,PIDDriver,pid_driver,step,,13,270,219.2817,50.71825,2552.732,-7.076935,5.327098,0,0
12130,t55306412,PIDDriver,pid_driver,step,,14,270,222.0674,47.93256,2600.665,-2.78569,5.053322,0,0
12180,t55306412,PIDDriver,pid_driver,step,,15,270,222.6038,47.39615,2648.061,-0.5364075,5.004421,0,0
12230,t55306412,PIDDriver,pid_driver,step,,16,270,222.7075,47.29253,2695.353,-0.1036224,4.998788,0,0
12285,t55306412,PIDDriver,pid_driver,step,,17,270,222.8172,47.18282,2742.536,-0.1097107,4.992536,0,0
12330,t55306412,PIDDriver,pid_driver,step,,18,270,225.3895,44.61048,2787.146,-2.572342,4.739762,0,0
12385,t55306412,PIDDriver,pid_driver,step,,19,270,227.6388,42.36121,2829.508,-2.249268,4.519072,0,0
12430,t55306412,PIDDriver,pid_driver,step,,20,270,233.2101,36.78989,2866.298,-5.57132,3.965618,0,0
12480,t55306412,PIDDriver,pid_driver,step,,21,270,237.1174,32.88261,2899.18,-3.907272,3.578179,0,0
13908,t55306412,PIDDriver,pid_driver,step,,0,-150,0,-150,-150,0,-15.015,0,0
14158,t55306412,PIDDriver,pid_driver,step,,5,-150,-3.858492,-146.1415,-896.1414,3.85849,-14.70376,0,0
14258,t55306412,PIDDriver,pid_driver,step,,7,-150,-27.16182,-122.8382,-1155.21,13.39195,-12.39934,0,0
