timestamp,thread,cls,name,method,tag,step,setpoint.x_position,setpoint.y_position,odometry.x_position,odometry.y_position,odometry.heading,roll_pid.error,roll_pid.integral,roll_pid.derivative,roll_pid.control,roll_pid.streak,thrust_pid.error,thrust_pid.integral,thrust_pid.derivative,thrust_pid.control,thrust_pid.streak,done
2489,t55306412,PIDMover,pid_mover,step,,0,1200,600,964.6256,1373.395,357.6421,-14.56921,-14.56921,0,-3.649588,0,-782.4241,-782.4241,0,-50,0,0
2539,t55306412,PIDMover,pid_mover,step,,1,1200,600,964.6256,1373.395,357.6488,-14.57593,-29.14514,-0.006713867,-3.658555,0,-782.4003,-1564.824,0.02386475,-50,0,0
4744,t55306412,PIDMover,pid_mover,step,,45,1200,600,1086.714,568.8409,334.4888,10.57435,32.01962,-0.07219791,2.659597,0,-20.6697,-14053.03,1.788109,-3.472273,2,0
5339,t55306412,PIDMover,pid_mover,step,,57,1200,600,1093.44,555.0199,337.3225,10.40981,157.2097,-0.0002374649,2.681057,0,0.4190338,0,1.670027,0.04190338,14,0
5444,t55306412,PIDMover,pid_mover,step,,59,1200,600,1094.37,552.7398,338.3715,10.41481,178.0361,0.0032444,2.692721,0,4.999053,7.823541,2.174566,0.5006877,16,0
6989,t55306412,PIDMover,pid_mover,step,,90,1200,600,1087.717,565.6619,352.9395,10.56743,503.1216,0.01408672,2.893418,0,20.27621,626.4073,-0.689867,2.090261,10,0
7039,t55306412,PIDMover,pid_mover,step,,91,1200,600,1087.269,566.6885,353.3513,10.57951,513.7012,0.01208401,2.901729,0,20.03532,646.4427,-0.2408829,2.068177,11,0
7089,t55306412,PIDMover,pid_mover,step,,92,1200,600,1086.57,568.6038,353.8795,10.59257,524.2938,0.01305485,2.910289,0,19.12334,665.566,-0.9119873,1.97889,12,0
7139,t55306412,PIDMover,pid_mover,step,,93,1200,600,1085.987,570.1066,354.4374,10.60801,534.9018,0.01543999,2.919452,0,18.7011,684.2671,-0.4222412,1.938536,13,0
7189,t55306412,PIDMover,pid_mover,step,,94,1200,600,1085.256,572.1876,354.9929,10.626,545.5277,0.01799679,2.929265,0,17.69146,701.9586,-1.009634,1.839342,14,0
7239,t55306412,PIDMover,pid_mover,step,,95,1200,600,1084.845,573.23,355.5144,10.6403,556.1681,0.01429749,2.938159,0,17.68184,719.6404,-0.009624481,1.840148,15,0
7389,t55306412,PIDMover,pid_mover,step,,98,1200,600,1083.423,577.0049,357.1966,10.69407,588.1964,0.01823616,2.967614,0,17.26602,771.5965,-0.2240543,1.803762,18,0
11114,t55306412,PIDMover,pid_mover,step,,1,0,1200,700.857,634.797,358.4792,-49.59491,-99.1897,-0.0001220703,-12.44832,0,583.6046,1167.211,-0.001464844,50,0,0
11864,t55306412,PIDMover,pid_mover,step,,16,0,1200,633.0704,1057.547,337.0277,-54.34631,-907.6439,0.8977051,-14.0404,0,378.2337,8095.714,0.03131104,38.63294,0,0
12964,t55306412,PIDMover,pid_mover,step,,38,0,1200,287.4078,1408.867,293.0848,-31.97582,-1840.344,0.5471516,-8.914127,0,182.4983,14169.59,-3.027527,19.66679,0,0
13718,t55306412,PIDMover,pid_mover,step,,53,0,1200,125.4488,1450.469,272.9236,-25.21161,-2258.312,0.2326851,-7.432058,0,112.5104,16254.69,-0.8172379,12.87651,0,0
